extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,foram_extract1_1,foram_extract2_1,foram_extract3_1,foram_extract4_1,foram_extract5_1,foram_extract6_1,pcrSV011,pcrSV012,pcrSV013,pcrSV014,foram_extract1_2,foram_extract4_2,foram_extract5_2,foram_extract6_2,foram_extract7_2,foram_extract8_2,foram_extract9_2,foram_extract10_2,foram_extract11_2,MP056A,MP056B,MP056C,MP057A,MP057B,MP057C
,,,,extract_neg5c,,,,,extract_neg5c,,,,,NBC.LAB.11086c,NBC.LAB.11096c,NBC.LAB.11110c,NBC.LAB.11129c,NBC.LAB.11148c,NBC.LAB.11167c,NBC.LAB.11101a,NBC.LAB.11101b,NBC.LAB.11101c,NBC.LAB.11211c,NBC.LAB.15338c,NBC.LAB.15327b,NBC.LAB.15293b,NBC.LAB.15362b,NBC.LAB.15252b,NBC.LAB.15299b,NBC.LAB.15346a,NBC.LAB.15388a,NBC.LAB.16308a,NBC.LAB.15302a,NBC.LAB.15302b,NBC.LAB.15302c,NBC.LAB.11175a,NBC.LAB.11175b,NBC.LAB.11175c
,,,,,,,,,extract_neg6c,,,,,NBC.LAB.11087a,NBC.LAB.11097a,NBC.LAB.11111a,NBC.LAB.11130a,NBC.LAB.11149a,NBC.LAB.11168a,NBC.LAB.11102a,NBC.LAB.11102b,NBC.LAB.11102c,NBC.LAB.11212a,NBC.LAB.15342c,NBC.LAB.15329b,NBC.LAB.15294b,NBC.LAB.15363b,NBC.LAB.15253b,NBC.LAB.15302b,NBC.LAB.15347a,NBC.LAB.15390a,NBC.LAB.16309a,NBC.LAB.15310a,NBC.LAB.15310b,NBC.LAB.15310c,NBC.LAB.11088a,NBC.LAB.11088b,NBC.LAB.11088c
,,,,,,,,,,,,,,NBC.LAB.11087b,NBC.LAB.11097b,NBC.LAB.11111b,NBC.LAB.11130b,NBC.LAB.11149b,NBC.LAB.11168b,NBC.LAB.11103a,NBC.LAB.11103b,NBC.LAB.11103c,NBC.LAB.11212b,NBC.LAB.15344c,NBC.LAB.15331b,NBC.LAB.15295b,NBC.LAB.15364b,NBC.LAB.15254b,NBC.LAB.15304b,NBC.LAB.15348a,NBC.LAB.15267a,NBC.LAB.15237b,NBC.LAB.15318a,NBC.LAB.15318b,NBC.LAB.15318c,NBC.LAB.11160a,NBC.LAB.11160b,NBC.LAB.11160c
,,,,,,,,,,,,,,NBC.LAB.11087c,NBC.LAB.11097c,NBC.LAB.11111c,NBC.LAB.11130c,NBC.LAB.11149c,NBC.LAB.11168c,NBC.LAB.11104a,NBC.LAB.11104b,NBC.LAB.11104c,NBC.LAB.11212c,NBC.LAB.15345c,NBC.LAB.15350b,NBC.LAB.15296b,NBC.LAB.15365b,NBC.LAB.15261b,NBC.LAB.15305b,NBC.LAB.15255b,NBC.LAB.15238b,NBC.LAB.15239b,NBC.LAB.15326a,NBC.LAB.15326b,NBC.LAB.15326c,NBC.LAB.15332a,NBC.LAB.15332b,NBC.LAB.15332c
,,,,,,,,,,,,,,NBC.LAB.11088a,NBC.LAB.11098a,NBC.LAB.11112a,NBC.LAB.11131a,NBC.LAB.11150a,NBC.LAB.11169a,NBC.LAB.11105a,NBC.LAB.11105b,NBC.LAB.11105c,NBC.LAB.11213a,extract_neg1_2a,NBC.LAB.15358b,NBC.LAB.15283c,NBC.LAB.15367b,NBC.LAB.15263b,NBC.LAB.15307b,NBC.LAB.15256b,NBC.LAB.15242b,NBC.LAB.15240b,NBC.LAB.15239a,NBC.LAB.15239b,NBC.LAB.15239c,NBC.LAB.15340a,NBC.LAB.15340b,NBC.LAB.15340c
,,,,,,,,,,,,,,NBC.LAB.11088b,NBC.LAB.11098b,NBC.LAB.11112b,NBC.LAB.11131b,NBC.LAB.11150b,NBC.LAB.11169b,NBC.LAB.11106a,NBC.LAB.11106b,NBC.LAB.11106c,NBC.LAB.11213b,extract_neg1_2b,NBC.LAB.15359b,NBC.LAB.15285c,NBC.LAB.15369b,NBC.LAB.15272b,NBC.LAB.15308b,NBC.LAB.15257b,NBC.LAB.15243b,NBC.LAB.15241b,NBC.LAB.15247a,NBC.LAB.15247b,NBC.LAB.15247c,NBC.LAB.15348a,NBC.LAB.15348b,NBC.LAB.15348c
,,,,,,,,,,,,,,NBC.LAB.11088c,NBC.LAB.11098c,NBC.LAB.11112c,NBC.LAB.11131c,NBC.LAB.11150c,NBC.LAB.11169c,NBC.LAB.11107a,NBC.LAB.11107b,NBC.LAB.11107c,NBC.LAB.11213c,extract_neg1_2c,NBC.LAB.15366b,NBC.LAB.15287c,NBC.LAB.15372b,NBC.LAB.15273b,NBC.LAB.15309b,NBC.LAB.15262b,NBC.LAB.15244b,NBC.LAB.15247b,NBC.LAB.15255a,NBC.LAB.15255b,NBC.LAB.15255c,NBC.LAB.15356a,NBC.LAB.15356b,NBC.LAB.15356c
,,,,,,,,,,,,,,NBC.LAB.11089a,NBC.LAB.11099a,NBC.LAB.11113a,NBC.LAB.11132a,NBC.LAB.11151a,NBC.LAB.11170a,NBC.LAB.11108a,NBC.LAB.11108b,NBC.LAB.11108c,NBC.LAB.11214a,,NBC.LAB.15371b,NBC.LAB.15288c,NBC.LAB.15373b,NBC.LAB.15274b,NBC.LAB.15310b,NBC.LAB.15264b,NBC.LAB.15245b,NBC.LAB.15249b,NBC.LAB.15263a,NBC.LAB.15263b,NBC.LAB.15263c,NBC.LAB.15364a,NBC.LAB.15364b,NBC.LAB.15364c
,,,,,,,,,,,,,,NBC.LAB.11089b,NBC.LAB.11099b,NBC.LAB.11113b,NBC.LAB.11132b,NBC.LAB.11151b,NBC.LAB.11170b,NBC.LAB.11109a,NBC.LAB.11109b,NBC.LAB.11109c,NBC.LAB.11214b,,NBC.LAB.15378b,NBC.LAB.15289c,NBC.LAB.15374b,NBC.LAB.15275b,NBC.LAB.15311b,NBC.LAB.15265b,NBC.LAB.15246b,NBC.LAB.15258b,NBC.LAB.15271a,NBC.LAB.15271b,NBC.LAB.15271c,NBC.LAB.15372a,NBC.LAB.15372b,NBC.LAB.15372c
,,,,,,,,,,,,,,NBC.LAB.11089c,NBC.LAB.11099c,NBC.LAB.11113c,NBC.LAB.11132c,NBC.LAB.11151c,NBC.LAB.11170c,NBC.LAB.11110a,NBC.LAB.11110b,NBC.LAB.11110c,NBC.LAB.11214c,,NBC.LAB.15387b,NBC.LAB.15290c,NBC.LAB.15375b,NBC.LAB.15276b,NBC.LAB.15312b,NBC.LAB.15266b,NBC.LAB.15248b,NBC.LAB.15259b,NBC.LAB.15279a,NBC.LAB.15279b,NBC.LAB.15279c,NBC.LAB.15380a,NBC.LAB.15380b,NBC.LAB.15380c
,,,,,,,,,,,,,,,NBC.LAB.11100a,NBC.LAB.11114a,NBC.LAB.11133a,NBC.LAB.11152a,NBC.LAB.11171a,NBC.LAB.11111a,NBC.LAB.11111b,NBC.LAB.11111c,NBC.LAB.11215a,,NBC.LAB.15277c,NBC.LAB.15291c,NBC.LAB.15352c,NBC.LAB.15278b,NBC.LAB.15313b,NBC.LAB.15317b,NBC.LAB.15250b,NBC.LAB.15260b,NBC.LAB.15287a,NBC.LAB.15287b,NBC.LAB.15287c,NBC.LAB.15388a,NBC.LAB.15388b,NBC.LAB.15388c
,,,,,,,,,,,,,,,NBC.LAB.11100b,NBC.LAB.11114b,NBC.LAB.11133b,NBC.LAB.11152b,NBC.LAB.11171b,NBC.LAB.11112a,NBC.LAB.11112b,NBC.LAB.11112c,NBC.LAB.11215b,,NBC.LAB.15281c,NBC.LAB.15292c,NBC.LAB.15353c,NBC.LAB.15280b,NBC.LAB.15314b,NBC.LAB.15318b,NBC.LAB.15251b,NBC.LAB.15269b,NBC.LAB.15295a,NBC.LAB.15295b,NBC.LAB.15295c,NBC.LAB.15333a,NBC.LAB.15333b,NBC.LAB.15333c
