"category","taxon","island","sample_code","water_depth._m","dist_coast_km","long","lat","substrate_type","sequencin_run","ESVs","Kindgom","Phylum","Class","Order","Family","Genus","Species","X.Identity.percentage","reads","pa","N","site_code"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_410","Eukaryota","Bacillariophyta","Mediophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus_sinensis",93822,1256,1,25.4669207322288,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_414","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Lauderiaceae","Lauderia","Lauderia_annulata",84586,2009,1,40.7349074451017,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_44","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",84030,2552,1,51.7448898954203,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_45","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_cf_adhaerens",94677,14919,1,302.500788538313,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_453","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus_concinnus",85227,664,1,13.4634039539808,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_476","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca_closterium",96198,2093,1,42.4381091501233,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_515","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_oceanica",96578,534,1,10.8274965533521,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_526","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_profunda",94636,952,1,19.3029526569123,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_55","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_varelae",86056,1964,1,39.8224779602686,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_574","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia_setigera",100000,457,1,9.26622832374886,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_60","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_gessneri",88213,890,1,18.0458275889201,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_603","Eukaryota","Bacillariophyta","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora_sp.",92720,637,1,12.915946263081,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_63","Eukaryota","Bacillariophyta","Bacillariophyceae","Surirellales","Entomoneidaceae","Entomoneis","Entomoneis_paludosa",93916,10439,1,211.663364270491,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_664","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_oceanica",97338,848,1,17.1942267364093,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_676","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Bacteriastrum","Bacteriastrum_furcatum",98473,894,1,18.1269324320164,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_707","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp._(in:_Bacillariophyta)",85227,644,1,13.0578797384995,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_71","Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Pinnulariaceae","Caloneis","Caloneis_sp.",89015,4408,1,89.3775370920896,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_72","Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Pleurosigmataceae","Pleurosigma","Pleurosigma_sp.",94677,6027,1,122.204722335305,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_83","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus_trioculatus",99240,1361,1,27.5959228635059,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_84","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_longissima",86207,1330,1,26.9673603295098,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_858","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_supralitorea",94677,417,1,8.45517989278616,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_92","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",88559,5824,1,118.088651548169,"Badi_1"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_104","Eukaryota","Bacillariophyta","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora_sp.",85932,1721,1,50.3018842802405,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_113","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",87352,791,1,23.1195760985881,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_116","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_lorenziana",85606,1045,1,30.5435613438996,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_118","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Opephoroidiella","Opephoroidiella_sp.",88213,883,1,25.808578628386,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_129","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",87747,1493,1,43.6378345324805,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_147","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_tenuissimus",99620,427,1,12.4804791328662,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_159","Eukaryota","Bacillariophyta","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora_sp.",85606,381,1,11.1359778679672,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_171","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_minuscula",94318,1337,1,39.0782215471711,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_186","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_tenuissimus",99240,347,1,10.1422160634767,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_192","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_sp._Na28A1",96198,538,1,15.724819141644,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_198","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Corethrales","Corethraceae","Corethron","Corethron_hystrix",100000,1549,1,45.2746186810531,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_210","Eukaryota","Bacillariophyta","Mediophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus_sinensis",99620,1070,1,31.2742685530838,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_22","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia_delicatissima",85950,135346,1,3955.9319173698,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_220","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_minuscula",93939,1604,1,46.8821745412584,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_227","Eukaryota","Bacillariophyta","Mediophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia_cornuta",100000,737,1,21.5412485267503,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_230","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_cf._decipiens",98099,911,1,26.6269707026723,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_234","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia_imbricata",89734,1193,1,34.8693480222701,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_242","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia_galaxiae",100000,905,1,26.4516009724681,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_269","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Bacteriastrum","Bacteriastrum_furcatum",98092,782,1,22.8565215032818,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_278","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia_striata",99240,878,1,25.6624371865492,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_285","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_cf._pusilla",95437,326,1,9.52842200776199,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_296","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca_closterium",86312,367,1,10.7267818308241,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_333","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_linearis",95057,953,1,27.8545588141018,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_356","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Bacillaria","Bacillaria_paxillifer",94717,605,1,17.6831144622577,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_410","Eukaryota","Bacillariophyta","Mediophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus_sinensis",93822,778,1,22.7396083498124,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_44","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",84030,6509,1,190.246928983199,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_45","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_cf_adhaerens",94677,13519,1,395.137230438449,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_465","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema_sp.",98859,695,1,20.3136604153208,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_515","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_oceanica",96578,524,1,15.3156231045009,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_55","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_varelae",86056,2347,1,68.5987927982129,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_60","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_gessneri",88213,1893,1,55.3291498794278,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_63","Eukaryota","Bacillariophyta","Bacillariophyceae","Surirellales","Entomoneidaceae","Entomoneis","Entomoneis_paludosa",93916,11479,1,335.511522169018,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_71","Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Pinnulariaceae","Caloneis","Caloneis_sp.",89015,1239,1,36.213849287169,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_72","Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Pleurosigmataceae","Pleurosigma","Pleurosigma_sp.",94677,3596,1,105.104924969056,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_84","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_longissima",86207,298,1,8.71002993347569,"Badi_21.7"
"environment","seawater","Badi","seawater_Badi_21.7","21.7",23,"119.28308","-4.9717","seawater",1,"ESV_858","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_supralitorea",94677,308,1,9.00231281714937,"Badi_21.7"
